S(mg/kg)
13.36
0.38
10.68
1.91
0.3
32.35
8.24
23.36
1.27
19.92
19.88
10.24
1.06
0.08
18.52
3.02
16.08
4.84
12.7
3.09
16.32
16.74
3.32
20.4
0.18
0.172
4.68
22.72
4.5
3.06
0.16
3.58
6.16
18.51
3.95
22.54
17.84
12.776
11.24
0.54
8.54
0.08
4.72
0.36
3.02
8.35
25.54
3.81
21.68
13.79
0.18
1.0
0.36
2.6
20.58
7.86
0.24
1.21
8.0
0.3
14.04
5.92
0.4
29.54
0.85
12.29
4.1
11.2
28.16
7.34
8.84
8.08
0.34
12.42
4.406
0.14
3.21
26.01
12.12
9.42
2.25
9.736
16.52
0.62
13.36
28.74
0.29
2.18
7.62
27.04
17.72
0.38
12.36
11.4
1.68
12.64
17.62
8.4
6.9
1.17
13.1
2.66
2.44
13.72
6.76
29.14
0.7
0.85
11.18
25.24
1.5
19.063
35.8
0.79
2.63
1.45
11.12
1.31
10.56
1.88
26.04
13.328
11.036
4.49
3.39
18.24
1.26
15.48
12.79
1.271
14.68
10.34
13.34
23.8
5.94
17.02
1.0
4.2
8.6
4.72
0.792
2.98
0.5
10.64
22.76
9.13
0.354
0.26
34.0
15.68
0.5
6.68
20.2
0.76
20.84
13.4
0.22
4.31
0.46
0.28
0.18
19.56
1.48
0.24
0.6
1.0
6.58
24.44
15.32
15.216
7.73
1.63
16.07
17.44
3.96
5.47
0.304
8.79
1.36
26.818
0.26
7.96
21.68
2.46
0.18
1.86
11.31
4.08
0.348
9.1
11.11
0.86
39.06
5.68
0.72
16.21
10.96
4.45
22.26
14.37
0.72
22.03
21.38
10.26
9.64
0.32
12.7
0.3
0.8
8.72
0.7
0.794
0.16
9.85
2.64
12.44
17.2
0.71
8.3
13.77
1.59
7.02
1.88
0.24
9.6
1.03
4.9
20.3
0.55
16.004
0.17
16.18
12.72
18.67
18.36
14.803
0.56
9.36
0.97
20.24
3.376
27.7
6.18
7.23
0.14
0.28
11.5
7.6
2.9
0.26
0.6
26.94
0.18
1.028
8.06
0.48
9.51
14.78
1.24
29.08
0.73
5.39
11.64
15.76
11.5
9.4
16.98
8.5
24.76
18.08
3.0
0.16
1.05
17.08
1.12
11.4
14.96
19.44
4.95
1.16
39.72
0.46
19.64
17.62
1.66
0.56
1.66
4.58
1.198
28.7
2.03
31.62
33.64
1.13
4.121
9.3
0.9
1.66
1.68
10.68
0.55
11.14
8.68
0.16
27.29
0.54
25.68
2.97
4.42
12.55
4.44
0.36
1.8
0.72
26.368
9.92
15.77
8.68
18.02
11.23
12.2
26.2
0.604
23.88
6.52
20.58
19.26
13.34
20.22
0.24
1.8
9.48
1.26
2.3
2.96
1.76
6.8
12.94
13.88
0.42
0.8
0.5
4.69
33.16
0.58
1.78
12.24
15.32
24.05
28.13
15.04
14.63
0.42
19.14
0.22
1.65
18.82
2.81
21.72
0.22
1.23
6.25
1.6
11.42
13.2
17.97
2.98
9.44
0.14
10.58
7.54
12.75
0.5
17.87
0.34
24.02
15.16
0.12
5.07
0.18
0.93
6.08
1.01
0.34
13.71
10.92
0.18
0.38
5.8
26.94
0.9
0.26
10.42
6.71
13.49
3.72
14.58
7.49
0.38
4.14
1.89
7.64
0.26
13.127
25.78
11.28
0.79
11.28
11.32
4.28
13.16
17.56
0.18
3.5
4.2
20.39
27.0
5.11
6.74
16.06
3.56
7.31
4.92
1.64
1.6
6.468
0.38
13.16
9.046
36.64
2.58
12.66
0.18
0.24
13.8
0.24
7.0
3.0
21.46
1.06
0.66
16.16
0.91
0.2
0.99
4.26
1.54
4.45
32.56
11.82
3.48
2.181
0.22
9.6
2.52
8.49
14.16
4.6
4.98
16.7
0.5
0.16
18.24
8.54
18.32
5.6
27.7
26.64
5.03
0.95
1.66
11.42
17.76
8.46
11.95
33.34
0.34
4.82
18.5
14.1
12.73
1.02
2.4
9.99
10.06
0.3
3.85
6.4
0.5
1.49
12.0
0.388
0.18
26.6
8.88
0.44
8.92
7.23
5.92
25.4
10.94
11.86
16.1
0.8
0.226
0.294
1.31
0.568
0.56
0.1
34.92
0.4
13.62
2.94
9.14
3.7
6.02
1.027
0.36
10.84
2.38
5.38
1.2
0.16
6.8
20.77
0.22
5.55
12.44
5.06
0.56
8.06
12.8
13.554
16.42
12.08
28.54
0.81
28.02
3.73
12.42
15.42
1.78
1.37
0.06
3.82
14.11
13.47
27.63
7.5
3.12
0.14
23.76
0.06
9.2
27.86
4.53
5.44
0.26
7.8
31.98
11.87
8.64
29.456
19.72
16.46
3.48
16.88
26.76
36.02
20.68
3.02
25.48
0.68
7.84
4.7
16.62
0.2
0.26
16.94
4.72
1.06
13.34
5.1
2.79
10.68
8.28
49.06
2.98
16.66
33.22
5.5
0.16
2.87
9.568
0.34
9.47
5.4
8.5
10.28
16.43
12.99
4.89
1.1
8.5
2.99
18.57
3.24
2.06
12.0
1.54
1.42
0.67
0.4
16.37
13.22
6.03
1.0
32.8
0.24
0.3
7.01
4.02
17.75
13.44
7.06
0.22
2.6
16.96
28.52
23.2
13.54
5.84
2.08
30.16
0.42
0.92
30.16
13.44
43.08
6.34
25.44
0.24
0.54
0.22
3.1
6.22
13.87
8.83
17.791
0.82
0.3
0.16
17.66
6.74
23.02
5.04
0.43
1.3
3.97
29.88
5.44
4.16
14.38
5.18
6.3
0.31
28.342
2.7
0.4
32.04
5.84
7.72
3.81
7.29
6.24
1.22
19.72
10.02
0.55
8.52
17.02
19.94
3.0
6.656
4.23
3.84
9.32
1.39
0.862
17.96
30.314
0.14
0.04
1.26
1.81
0.34
11.72
1.42
4.5
0.26
0.82
14.52
2.1
22.2
3.04
9.99
7.28
0.66
10.8
7.34
0.26
2.45
17.84
4.9
1.83
30.2
7.457
1.71
0.18
28.34
4.07
0.38
2.62
21.16
1.03
1.0
3.54
9.34
8.41
18.78
7.502
1.13
0.44
4.37
7.05
1.67
1.03
0.24
7.77
2.55
2.68
0.52
6.32
4.08
23.24
13.4
21.34
1.33
0.16
14.38
5.96
6.84
9.02
4.51
26.64
1.31
0.88
0.64
2.39
27.84
8.16
13.08
16.38
0.4
5.38
0.98
0.5
0.56
0.94
32.44
0.31
7.84
3.69
49.92
0.4
1.4
0.22
2.6
0.8
8.16
0.792
21.84
12.6
10.85
8.77
2.38
1.13
0.58
0.48
20.48
8.28
0.96
20.76
0.3
0.61
24.9
17.76
21.4
10.12
6.44
0.34
0.84
26.12
4.1
5.69
1.74
11.82
12.16
0.26
0.56
7.46
3.14
7.68
9.31
12.095
17.48
10.4
6.26
1.5
4.3
0.53
0.08
14.22
4.64
0.32
17.201
11.44
0.75
4.72
0.46
0.64
18.86
20.32
0.98
2.58
19.58
5.52
10.24
2.91
1.52
0.26
24.9
2.34
11.72
0.32
3.68
0.14
1.57
9.04
0.45
4.52
5.55
9.108
2.69
0.34
1.02
1.26
4.6
0.56
8.58
10.28
0.08
3.89
1.62
16.9
2.59
15.32
0.77
0.16
0.2
7.7
28.76
8.11
24.74
6.4
4.46
7.98
0.32
14.94
6.84
1.36
7.72
11.4
8.21
9.6
0.71
8.9
34.19
3.52
12.34
10.46
9.3
19.44
0.63
0.44
12.77
0.78
34.91
18.52
15.32
6.54
11.68
0.12
10.46
0.9
11.97
6.732
9.36
13.06
2.9
3.36
0.4
0.292
0.36
17.4
11.71
2.887
4.56
1.09
7.7
