S(mg/kg)
9.3
18.78
11.24
14.02
8.88
1.36
0.54
0.14
0.3
8.72
6.18
11.32
16.74
14.94
2.34
0.38
0.2
0.14
7.54
6.8
9.6
6.54
7
2.4
0.22
0.24
0.16
20.48
20.58
11.12
4.98
4.42
3.24
0.22
0.2
0.22
17.66
10.28
16.42
25.12
18.86
1.78
0.18
0.18
0.36
25.48
12
8
16.94
13.96
9.14
0.42
0.18
0.24
19.24
14.04
10.88
14.1
7.64
1.7
0.62
0.34
0.86
26.36
24.9
23.8
16.08
12.7
3.48
1.8
0.68
0.76
11.2
6.8
10.42
4.6
16.2
1
0.6
0.46
0.44
12.44
15.32
15.74
6.58
9.6
0.64
0.4
0.28
0.26
25.68
24.74
28.74
32.56
20.84
0.84
0.22
0.18
0.08
13.8
13.36
21.86
26.6
30.16
2.46
0.3
0.3
0.56
12.24
19.32
17.62
23.2
21.34
0.78
0.38
0.26
0.34
26.64
21.38
25.44
29.54
17.4
0.66
0.04
0.1
0.16
33.34
23.76
31.12
28.34
13.06
0.72
0.5
0.56
0.46
20.24
26.18
25.24
29.74
15.78
0.4
1.52
0.36
0.34
20.3
22.26
19.94
17.02
19.64
0.56
0.4
0.54
0.22
14.16
15.42
11.5
7.54
7.84
0.64
0.16
0.24
0.08
4.02
11.4
6.52
10.56
11.4
3.5
0.38
0.24
0.2
16.62
11.14
9.48
7.64
12.08
10.58
0.56
0.2
0.24
8.64
4.42
11.4
10.8
5.12
0.58
0.14
0.14
0.16
9.3
5.44
4.72
10.28
13.34
1.54
0.18
0.16
0.26
5.3
5.44
4.72
10.28
7.34
1.54
0.18
0.16
0.26
6.22
5.9
4.52
5.98
9.6
1.16
0.4
0.42
0.36
9.04
4.26
8.94
9.34
15.88
0.5
0.18
0.18
0.22
5.5
13.54
16.18
14.96
8.5
0.98
0.24
0.16
0.64
13.88
10.64
8.54
17.84
10.96
1.88
0.5
0.32
0.36
19.88
30.64
28.54
17.84
10.96
1.88
0.5
0.32
0.36
15.32
5.04
8.6
9.2
7.86
1.6
0.56
0.28
0.42
13.72
6.3
5.92
13.2
8.92
0.72
0.52
0.5
0.56
7.72
17.38
17.2
16.38
10.24
0.56
0.38
0.14
0.14
4.28
7.68
3.32
5.38
7.28
1.62
0.38
0.22
0.26
3.62
4.64
5.06
4.58
3.64
0.4
0.26
0.26
0.3
2.7
4.9
4.2
4.14
5.52
0.92
0.3
0.42
0.16
4.1
5.94
6.36
6.74
5.92
1.4
0.08
0.1
0.2
3.36
3.58
2.52
2.18
2.98
0.34
0.26
0.16
0.16
4.08
4.2
10.94
9.44
7.6
0.5
1.78
0.36
0.24
8.68
7.34
6.74
8.4
11.42
1.26
0.18
0.36
0.48
11.68
13.52
14.68
10.24
17.96
2.9
0.24
0.36
0.38
19.14
8.5
10.84
14.38
8.16
4.82
0.78
1.68
0.68
16.2
12.64
11.96
8.28
16.32
0.5
0.42
0.34
0.34
24.44
18.32
19.72
12.42
17.44
1.76
0.32
0.28
0.24
26.2
23.24
25.54
25.78
18.02
3.72
0.5
0.32
0.4
31.62
21.84
27.7
28.7
28.76
2.68
0.44
0.26
1.66
15.78
19.56
13.34
19.26
20.68
1.26
0.46
0.26
0.24
23.36
25.02
17.76
16.72
15.76
2.44
0.6
0.38
0.54
18.36
17.62
8.08
13.1
20.2
1.66
0.56
0.56
0.6
21.4
11.5
19.44
13.76
16.06
3.02
1.06
0.34
0.5
12.42
6.24
9.64
13.68
8.8
1.6
0.58
0.3
0.26
30.98
27.7
26.01
32.35
34.19
4.1
4.46
2.59
0.72
32.33
24.05
27.63
28.71
29.88
5.47
1.92
0.4
0.97
20.39
24.9
27.29
32.8
16.7
1.68
2.87
4.45
2.37
20.4
13.44
21.68
29.14
28.13
6.5
3.95
2.91
4.5
13.72
17.87
12.87
24.76
12.55
1.65
1.36
1.89
1.59
12.73
7.64
7.86
11.87
5.96
1.81
0.82
0.31
0.66
6.26
27.61
12.29
18.82
7.49
1.86
0.79
0.48
1.21
9.62
7.02
5.44
7.05
3.82
0.85
0.31
0.17
0.43
11.37
11.63
7.84
11.42
8.3
3.85
2.96
4.07
1.78
12.6
7.72
8.41
10.4
6.9
1.8
0.96
0.71
1.52
16.38
11.31
14.95
23.02
16.52
2.38
1.3
1.49
2.4
9.16
8.83
9.32
9.92
5.56
1.37
1.31
2.94
2.14
15.97
16.07
18.67
16.43
22.03
6.84
6.34
5.68
3.48
13.4
8.16
7.74
11.87
4.91
0.3
0.61
0.55
0.53
20.77
14.11
12.34
18.57
17.97
1.45
1.24
1.33
2.2
26.94
15.29
15.31
16.21
